Usability review,,,,,,,,,,,,,,,,Enter score,0
,,,,,,,,,,,,,,,,Very poor,1
https://rutadelosvinosdegranada.com,,,Score,,,,,Comments,,,,,,,,Poor,2
,,,,,,,,,,,,,,,,Moderate,3
,"Hover over a guideline for more information, examples of good practice and importance to the overall user experience.",,N/A = not applicable or can't be assessed,,,,,"Optional - Provide a short rational for the score, such as a description of the issues found; examples of good practice and the likely impact for users.",,,,,,,,Good,4
,,,,,,,,,,,,,,,,Excellent,5
Features & functionality,,,,,,,,,,"Weighting 
(out of 5)",Weighting ratio,"Rating
(0 - 5)",Score,Out of,,N/A,0
,,,,,,,,,,,,,,,,,
1,Features and functionality meet common user goals and objectives.,,Poor,,#REF!,#REF!,,"Main functionalities: providing information on wine, region, and wine tours. Providing a shop to buy local wines.",,5,100%,2,2,5,,,
,,,,,,,,,,,,,,,,,
2,Features and functionality support users desired workflows.,,Good,,#REF!,#REF!,,Users can create a user profile to save their information. ,,5,100%,4,4,5,,,
,,,,,,,,,,,,,,,,,
3,Frequently-used tasks are readily available (e.g. easily accessible from the homepage) and well supported (e.g. short cuts are available).,,Moderate,,#REF!,#REF!,,"Main tasks can be carried out, but landing page is not straight-forward. There are too many options to click on and the website does not have a clear priority (buying wines or carrying out tours)",,4,80%,3,2.4,4,,,
,,,,,,,,,,,,,,,,,
4,"Users are adequately supported according to their level of expertise (e.g. short cuts for expert users, help and instructions for novice users).",,Moderate,,#REF!,#REF!,,There is a whatsapp chat that can be accessed in order to help customers. However there is no FAQ page or shortcuts to the most trivial parts of the website.,,3,60%,3,1.8,3,,,
,,,,,,,,,,,,,,,,,
5,"Call to actions (e.g. register, add to basket, submit) are clear, well labelled and appear clickable.",,Excellent,,#REF!,#REF!,,"Basket, login etc. are very clearly visible in the top bar of the website.",,3,60%,5,3,3,,,
,,,,,,,,,,,,,,,,,
Homepage / starting page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,"The Homepage / starting page provides a clear snapshot and overview of the content, features and functionality available.",,Moderate,,#REF!,#REF!,,"Homepage shows all important functionalities, but the layout is crowded.",,3,60%,3,1.8,3,,,
,,,,,,,,,,,,,,,,,
7,The home page / starting page is effective in orienting and directing users to their desired information and tasks.,,Good,,#REF!,#REF!,,There are big images to click on for each main functionality of the website.,,4,80%,4,3.2,4,,,
,,,,,,,,,,,,,,,,,
8,The homepage / starting page layout is clear and uncluttered with sufficient 'white space'.,,Poor,,,,,"Since the website has many functionalities, there is not much whitespace left. However, this does not make the website look extremely crowded.",,3,60%,2,1.2,3,,,
,,,,,,,,,,,,,,,,,
Navigation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9,Users can easily access the site or application (e.g. the URL is predictable and is returned by search engines).,,Excellent,,#REF!,#REF!,,search engines return the website as one of their top results. URL makes sense and is clear.,,2,40%,5,2,2,,,
,,,,,,,,,,,,,,,,,
10,"The navigational scheme (e.g. menu) is easy to find, intuitive and consistent.",,Moderate,,#REF!,#REF!,,"navigation scheme has multiple times the dropdown item ""vinos"" without clear distinction on what this item means in each context.",,4,80%,3,2.4,4,,,
,,,,,,,,,,,,,,,,,
11,"The navigation has sufficient flexibility to allow users to navigate by their desired means (e.g. searching, browse by type, browse by name, most recent etcâ€¦). ",,Moderate,,,,,"Shopping option has a filtering option, but it is not intuitively found on the top right part of the page. It supports main filtering functions price and bodega, but does not include taste and other wine preferences that experienced drinkers might expect.",,3,60%,3,1.8,3,,,
,,,,,,,,,,,,,,,,,
12,"The site or application structure is clear, easily understood and addresses common user goals.",,Good,,#REF!,#REF!,,"Once users get used to the landing page, it provides shortcuts to all important subpages of  the website",,5,100%,4,4,5,,,
,,,,,,,,,,,,,,,,,
13,"Links are clear, descriptive and and well labelled.",,Good,,#REF!,#REF!,,"as explained above, multiple links exist for ""vino"" which are not clearly distinguishable.",,3,60%,4,2.4,3,,,
,,,,,,,,,,,,,,,,,
14,"Browser standard functions (e.g. 'back', 'forward', 'bookmark') are supported.",,Excellent,,#REF!,#REF!,,supported.,,4,80%,5,4,4,,,
,,,,,,,,,,,,,,,,,
15,"The current location is clearly indicated (e.g. breadcrumb, highlighted menu item).",,Very poor,,#REF!,#REF!,,no indication.,,2,40%,1,0.4,2,,,
,,,,,,,,,,,,,,,,,
16,Users can easily get back to the homepage or a relevant start point.,,Excellent,,#REF!,#REF!,,clicking on the website's label returns to landing page.,,2,40%,5,2,2,,,
,,,,,,,,,,,,,,,,,
17,A clear and well structure site map or index is provided (where necessary).,,Excellent,,#REF!,#REF!,,header is always visible.,,1,20%,5,1,1,,,
,,,,,,,,,,,,,,,,,
Search,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18,"A consitent, easy to find and easy to use search function is available throughout (where desirable).",,Very poor,,#REF!,#REF!,,no search function in the header of the website.,,4,80%,1,0.8,4,,,
,,,,,,,,,,,,,,,,,
19,"The search interface is appropriate to meet user goals (e.g. multi-parameter, prioritised results, filtering search results).",,N/A,,#REF!,#REF!,,no search function.,,4,80%,0,0,0,,,
,,,,,,,,,,,,,,,,,
20,"The search facility deals well with common searchs (e.g. showing most popular results), misspellings and abbreviations.",,N/A,,#REF!,#REF!,,no search function.,,2,40%,0,0,0,,,
,,,,,,,,,,,,,,,,,
21,"Search results are relevant, comprehensive, precise, and well displayed.",,N/A,,#REF!,#REF!,,no search function.,,4,80%,0,0,0,,,
,,,,,,,,,,,,,,,,,
Control & feedback,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
22,Prompt and appropriate feedback is given (e.g. following a successful or unsuccessful action).,,Excellent,,#REF!,#REF!,,adding an item to the cart immediately repromts to the cart and checkout.,,4,80%,5,4,4,,,
,,,,,,,,,,,,,,,,,
23,"Users can easily undo, go back and change or cancel actions; or are at least given the chance to confirm an action before commiting (e.g. before placing an order).",,Excellent,,#REF!,#REF!,,,,3,60%,5,3,3,,,
,,,,,,,,,,,,,,,,,
24,Users can easily give feedback (e.g. via email or an online feedback / contact us form).,,Excellent,,#REF!,#REF!,,whatsapp chat and call function is provided.,,1,20%,5,1,1,,,
,,,,,,,,,,,,,,,,,
Forms,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
25,Complex forms and processes are broken up into readily understood steps and sections. Where a process is used a progress indicator is present with clear numbers or named stages.,,Good,,#REF!,#REF!,,,,3,60%,4,2.4,3,,,
,,,,,,,,,,,,,,,,,
26,"A minimal amount of information is requested and where required justification is given for asking for information (e.g. date of birth, telephone number).",,Enter score,,#REF!,#REF!,,,,2,40%,0,0,0,,,
,,,,,,,,,,,,,,,,,
27,Required and optional form fields are clearly indicated.,,Enter score,,#REF!,#REF!,,,,2,40%,0,0,0,,,
,,,,,,,,,,,,,,,,,
28,"Appropriate input fields (e.g. calendar for date selection, drop down for selection) are used and required formats are indicated.",,Enter score,,#REF!,#REF!,,,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
29,"Help and instructions (e.g. examples, information required) are provided where necessary.",,Enter score,,#REF!,#REF!,,,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
Errors,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
30,"Errors are clear, easily identifiable and appear in appropriate location (e.g. adjacent to data entry field, adjacent to form, etc.).",,Excellent,,#REF!,#REF!,,,,4,80%,5,4,4,,,
,,,,,,,,,,,,,,,,,
31,"Error messages are concise, written in easy to understand language and describe what's occurred and what action is necessary.",,Excellent,,#REF!,#REF!,,,,3,60%,5,3,3,,,
,,,,,,,,,,,,,,,,,
32,"Common user errors (e.g. missing fields, invalid formats, invalid selections) have been taken into consideration and where possible prevented.",,N/A,,#REF!,#REF!,,,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
33,Users are able to easily recover (i.e. not have to start again) from errors.,,Good,,#REF!,#REF!,,,,3,60%,4,2.4,3,,,
,,,,,,,,,,,,,,,,,
Content & text,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
34,"Content available (e.g. text, images, video) is appropriate and sufficiently relevant, and detailed to meet user goals.",,Enter score,,#REF!,#REF!,,,,5,100%,0,0,0,,,
,,,,,,,,,,,,,,,,,
35,Links to other useful and relevant content (e.g. related pages or external websites) are available and shown in context.,,Enter score,,#REF!,#REF!,,,,2,40%,0,0,0,,,
,,,,,,,,,,,,,,,,,
36,"Language, terminology and tone used is appropriate and readily understood by the target audience.",,Enter score,,#REF!,#REF!,,,,4,80%,0,0,0,,,
,,,,,,,,,,,,,,,,,
37,"Terms, language and tone used are consitent (e.g. the same term is used throughout).",,Enter score,,#REF!,#REF!,,,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
38,"Text and content is legible and scanable, with good typography and visual contrast.",,Enter score,,#REF!,#REF!,,,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
Help,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
39,Online help is provided and is suitable for the user base (e.g. is written in easy to understand langugage and only uses recognised terms). Where appropriate contextual help is provided.,,Poor,,#REF!,#REF!,,"There is no FAQ page, only a whatsapp chat is provided.",,4,80%,2,1.6,4,,,
,,,,,,,,,,,,,,,,,
40,"Online help is concise, easy to read and written in easy to understand language.",,N/A,,#REF!,#REF!,,"Whatsapp chat is provided, but no further instructions are given.",,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
41,Accessing online help does not impede users (i.e. they can can resume work where they left off after accessing help).,,N/A,,#REF!,#REF!,,redirected to whatsapp when help is needed - does not impede user but also does not interfere with the website directly. Therefore not applicable.,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
42,Users can easily get further help (e.g. telephone or email address).,,Excellent,,#REF!,#REF!,,Phone number and chat function.,,2,40%,5,2,2,,,
,,,,,,,,,,,,,,,,,
Performance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
43,"Site or application performance doesn't inhibit the user experience (e.g. slow page downloads, long delays).",,Good,,#REF!,#REF!,,,,4,80%,4,3.2,4,,,
,,,,,,,,,,,,,,,,,
44,Errors and reliabilty issues don't inhibit the user experience.,,Excellent,,#REF!,#REF!,,,,4,80%,5,4,4,,,
,,,,,,,,,,,,,,,,,
45,"Possible user configurations (e.g. browsers, resolutions, computer specs) are supported.",,N/A,,#REF!,#REF!,,,,3,60%,0,0,0,,,
,,,,,,,,,,,,,,,,,
Overall usability score (out of 100) *,,,75,,,,-,Good,75,5,,,70.8,95,,,
,,,,,,,,,,,,,,,,,
* Very poor (less than 29) - Users are likely to experience very significant difficulties using this site or system and might not be able to complete a significant number of important tasks.,,,,,,,,,,,,,,,,,
* Poor (between 29 and 49) - Users are likely to experience some difficulties using this site or system and might not be able to complete some important tasks.,,,,,,,,,,,,,,,,,
"* Moderate (between 49 and 69) - Users should be able to use this site or system and complete most important tasks, however the user experience could be significantly improved.",,,,,,,,,,,,,,,,,
* Good (between 69 and 89) - Users should be able to use this site or system with relative ease and should be able to complete the vast majority of important tasks.,,,,,,,,,,,,,,,,,
* Excellent (more than 89) - This site or system provides an excellent user experience for users. Users should be able to complete all important tasks on the site or system.,,,,,,,,,,,,,,,,,